,player_name_x,PA,HR,R,RBI,SB,BB_percentage,K_percentage,OBP,wRC+,BsR,WAR,pitches,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,whiffs,swings,takes
274,Kevin Kiermaier,421,15,56,39,16,0.07400000000000001,0.235,0.33799999999999997,112,5.3,3.0,1674,0.276,0.174,0.337,0.45,0.341,0.27899999999999997,0.215,105,380,79.8,14.5,212,792,853
275,Kevin Pillar,632,16,72,42,15,0.052000000000000005,0.15,0.3,85,1.0,1.9,2220,0.256,0.14800000000000002,0.28,0.40399999999999997,0.306,0.302,0.258,150,587,80.1,15.9,190,1153,1056
276,Kevin Plawecki,118,3,11,13,1,0.11900000000000001,0.14400000000000002,0.364,106,0.6,0.6,485,0.26,0.14,0.284,0.4,0.342,0.35,0.26899999999999996,26,100,80.9,16.1,49,225,251
277,Khris Davis,652,43,91,110,4,0.11199999999999999,0.299,0.336,128,-1.3,2.3,2592,0.247,0.281,0.29,0.528,0.36700000000000005,0.38299999999999995,0.257,140,566,85.0,20.4,412,1222,1361
278,Kole Calhoun,654,19,77,71,5,0.109,0.205,0.33299999999999996,98,-0.5,2.2,2537,0.244,0.14800000000000002,0.284,0.392,0.322,0.32799999999999996,0.247,139,569,81.8,15.1,311,1204,1302
279,Kolten Wong,411,4,55,42,8,0.1,0.146,0.376,107,3.7,2.1,1537,0.285,0.127,0.331,0.41200000000000003,0.35,0.321,0.254,101,354,79.5,12.4,132,687,795
280,Kris Bryant,665,29,111,73,7,0.14300000000000002,0.192,0.409,146,4.8,6.7,2669,0.295,0.242,0.33399999999999996,0.537,0.40700000000000003,0.36700000000000005,0.247,162,549,81.3,18.3,290,1205,1432
281,Kurt Suzuki,309,19,38,50,0,0.055,0.126,0.35100000000000003,129,-0.9,2.7,1112,0.28300000000000003,0.254,0.268,0.536,0.37799999999999995,0.337,0.258,78,276,81.1,18.2,101,583,508
282,Kyle Schwarber,486,30,67,59,1,0.121,0.309,0.315,102,-0.4,1.5,2112,0.21100000000000002,0.256,0.244,0.467,0.33799999999999997,0.341,0.21899999999999997,89,422,83.8,23.9,279,937,1164
283,Kyle Seager,650,27,72,88,2,0.08900000000000001,0.16899999999999998,0.32299999999999995,106,-0.9,3.5,2583,0.249,0.201,0.262,0.45,0.335,0.344,0.255,144,578,83.3,20.7,230,1097,1457
