"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"496",643393,"Tony Kemp","496","100.00","0.217","0.108","0.269","0.325","0.278","0.265","0.208","26","120","80.4","13.8","2194","88.6","88.18","33","223","272","-0.4","6.08","105","144","93","146","272","307","291"
"496",407781,"Marlon Byrd","496","100.00","0.270","0.183","0.347","0.452","0.335","0.302","0.232","31","115","80.5","18.3","2206","88.5","88.00","96","281","212","-0.5","5.98","105","149","114","144","294","314","285"
"484",571912,"Luke Maile","484","100.00","0.227","0.134","0.300","0.361","0.261","0.246","0.214","27","119","82.5","16.4","2220","89.3","88.75","71","230","246","-0.6","6.06","108","152","114","147","299","320","288"
"475",643217,"Andrew Benintendi","475","100.00","0.295","0.181","0.367","0.476","0.359","0.293","0.229","31","105","81.4","20.5","2245","89.1","88.57","42","203","269","-0.5","6.00","110","147","104","149","283","315","298"
"469",606192,"Teoscar Hernandez","469","100.00","0.230","0.190","0.275","0.420","0.315","0.274","0.200","23","100","85.2","14.6","2170","88.8","88.25","61","196","265","-0.5","6.09","106","151","105","145","295","317","287"
"468",452672,"Ryan Hanigan","468","100.00","0.171","0.067","0.221","0.238","0.215","0.227","0.188","18","105","79.8","14.9","2221","89.3","88.61","46","204","263","-0.7","6.02","106","148","112","144","288","306","283"
"467",519058,"Mike Moustakas","467","100.00","0.240","0.260","0.214","0.500","0.342","0.375","0.294","25","104","87.0","15.3","2174","87.5","86.64","32","196","269","-0.9","6.06","114","155","114","150","292","314","302"
"461",489232,"Anthony Recker","461","100.00","0.278","0.156","0.343","0.433","0.358","0.417","0.299","25","90","85.9","16.6","2205","89.7","89.26","46","166","290","-0.4","6.09","106","150","115","144","300","317","292"
"460",553882,"Omar Narvaez","460","100.00","0.267","0.069","0.295","0.337","0.313","0.311","0.258","27","101","80.4","17.2","2182","90.4","89.79","35","218","238","-0.6","6.12","114","148","112","147","283","312","292"
"460",455755,"Chris Stewart","460","100.00","0.214","0.071","0.244","0.286","0.282","0.282","0.217","21","98","81.3","10.6","2221","90.3","89.91","17","152","293","-0.4","6.22","106","148","109","144","302","310","282"
