pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
1173,640461,Chad Pinder,1173,100,0.238,0.22,0.292,0.457,0.32,0.332,0.24,67,282,82.4,16.6,2257,88.3,87.75,187,606,560,-0.6,5.97,107,149,111,145,299,320,288
2567,605137,Josh Bell,2567,100,0.255,0.211,0.278,0.466,0.346,0.332,0.255,140,549,82.3,14.2,2162,89.1,88.66,261,1112,1437,-0.4,6.04,115,151,115,149,299,318,297
2125,446359,Zack Cozart,2125,100,0.297,0.251,0.312,0.548,0.399,0.332,0.255,130,438,81.7,16.3,2196,88.6,88.24,139,868,1249,-0.4,6.11,109,149,111,145,296,315,287
719,650490,Yandy Diaz,719,100,0.263,0.064,0.336,0.327,0.312,0.331,0.266,41,156,87.1,6,2206,88.9,88.37,52,280,438,-0.5,6.05,106,149,110,144,297,313,286
1743,572041,A.J. Pollock,1743,100,0.266,0.205,0.291,0.471,0.347,0.331,0.265,113,425,82.9,10.7,2260,88.3,87.64,139,737,995,-0.7,5.91,107,150,107,146,303,320,296
2268,621035,Chris Taylor,2268,100,0.288,0.208,0.361,0.496,0.368,0.331,0.258,148,514,81.3,17,2236,88.9,88.26,263,1032,1225,-0.6,5.93,108,150,107,146,299,315,291
1357,488862,Yunel Escobar,1357,100,0.274,0.123,0.305,0.397,0.324,0.33,0.272,96,350,84.3,7.1,2222,88.8,88.32,126,637,718,-0.5,6.01,106,150,109,146,302,322,290
1598,571437,Aaron Altherr,1598,100,0.272,0.245,0.328,0.516,0.367,0.33,0.244,101,372,83.3,14.3,2222,88.8,88.32,212,708,878,-0.5,6.09,107,151,114,147,297,318,293
2041,502210,Josh Reddick,2041,100,0.314,0.17,0.339,0.484,0.359,0.33,0.28,150,477,83.1,21.6,2202,88.2,87.74,140,896,1137,-0.5,6.02,114,150,111,149,288,320,296
808,518466,Jabari Blash,808,100,0.213,0.128,0.319,0.341,0.308,0.33,0.219,35,164,82.4,18.3,2238,89.5,88.99,147,362,444,-0.5,6,108,151,114,145,302,323,301
912,645277,Ozzie Albies,912,100,0.286,0.171,0.316,0.456,0.352,0.33,0.26,62,217,82,19.2,2110,88.3,87.87,107,469,434,-0.4,6.03,111,148,99,149,292,315,294
1079,502082,Lonnie Chisenhall,1079,100,0.288,0.233,0.326,0.521,0.373,0.33,0.242,68,236,80.9,20.4,2244,88.9,88.28,125,539,524,-0.6,5.96,112,147,111,148,289,318,297
1925,523253,Logan Forsythe,1925,100,0.224,0.102,0.299,0.327,0.313,0.329,0.228,81,361,84,15.9,2243,89.6,88.93,144,623,1294,-0.7,5.95,109,151,111,146,299,313,290
2134,448801,Chris Davis,2134,100,0.215,0.208,0.301,0.423,0.32,0.328,0.218,98,456,84.2,17.6,2249,88.4,87.54,320,906,1207,-0.9,5.86,116,167,134,149,298,327,301
2746,455976,Nick Markakis,2746,100,0.275,0.11,0.324,0.384,0.331,0.328,0.269,163,593,83.5,15.4,2184,88.8,88.33,172,1105,1606,-0.5,5.98,114,149,113,150,290,315,298
1306,150029,Jayson Werth,1306,100,0.226,0.167,0.27,0.393,0.317,0.328,0.234,57,252,82.4,19.4,2200,89,88.52,110,502,796,-0.5,6.07,108,151,115,146,302,319,294
2537,594777,Kole Calhoun,2537,100,0.244,0.148,0.284,0.392,0.322,0.328,0.247,139,569,81.8,15.1,2204,88.4,87.86,311,1204,1302,-0.5,5.99,115,154,111,149,293,321,302
1631,664023,Ian Happ,1631,100,0.253,0.261,0.316,0.514,0.357,0.328,0.234,92,364,81.1,18.4,2157,89.5,89.12,274,797,815,-0.4,6.06,112,148,112,149,294,314,297
1937,493329,Yuli Gurriel,1937,100,0.299,0.187,0.308,0.486,0.351,0.327,0.283,158,529,85.1,13.8,2245,88.4,87.82,164,932,991,-0.6,6,107,150,115,146,296,322,291
1581,571466,Tucker Barnhart,1581,100,0.27,0.132,0.312,0.403,0.329,0.327,0.269,100,370,80.8,12.6,2153,88.5,88.16,140,735,801,-0.3,6.13,112,148,111,148,289,313,292
2497,405395,Albert Pujols,2497,100,0.241,0.145,0.249,0.386,0.294,0.326,0.268,143,593,84.5,16.5,2249,88.1,87.59,241,1172,1311,-0.5,5.99,106,152,119,146,306,326,299
2180,592663,J.T. Realmuto,2180,100,0.278,0.173,0.318,0.451,0.34,0.326,0.263,148,532,83,15.2,2210,89.1,88.48,201,1047,1114,-0.6,6.05,108,150,112,146,302,316,292
2422,435079,Ian Kinsler,2422,100,0.236,0.176,0.244,0.412,0.319,0.326,0.248,130,551,82.4,22.2,2244,88.7,88.38,166,1071,1336,-0.3,6.09,109,153,110,147,297,321,288
1369,455104,Chris Iannetta,1369,100,0.254,0.257,0.308,0.511,0.372,0.326,0.222,69,272,81.5,18.1,2268,88.7,88.04,163,607,756,-0.7,5.88,108,151,114,146,302,320,296
2018,500871,Eduardo Escobar,2018,100,0.254,0.195,0.279,0.449,0.327,0.326,0.249,116,457,80.4,20.8,2200,88.5,88.08,236,1049,949,-0.4,6.05,110,148,106,147,289,314,290
725,467092,Wilson Ramos,725,100,0.26,0.188,0.262,0.447,0.312,0.326,0.261,54,208,79.5,11,2242,88.4,87.91,85,402,316,-0.5,6.07,108,152,117,147,303,324,295
727,543308,John Hicks,727,100,0.266,0.173,0.342,0.439,0.334,0.326,0.257,46,173,79.1,14.6,2214,88.5,88.23,144,420,300,-0.3,6.1,107,151,113,144,298,319,292
1599,571745,Mitch Haniger,1599,100,0.282,0.209,0.338,0.491,0.364,0.325,0.246,104,369,82.3,15.7,2253,88.5,88.06,153,671,917,-0.4,6.03,105,149,111,145,297,315,287
2544,570731,Jonathan Schoop,2544,100,0.293,0.211,0.33,0.503,0.361,0.325,0.264,182,622,82,17.4,2232,88.4,87.65,374,1333,1200,-0.7,5.93,108,150,115,145,300,323,293
1764,624428,Adam Frazier,1764,100,0.276,0.123,0.306,0.399,0.329,0.325,0.275,112,406,80.6,14.6,2188,89,88.52,108,803,940,-0.5,6,116,148,102,148,286,309,295
679,547170,Nicky Delmonico,679,100,0.262,0.22,0.277,0.482,0.374,0.325,0.228,37,141,77.3,15.2,2260,88.3,88.2,78,312,365,-0.1,6.2,113,146,111,148,285,317,299
725,595885,Greg Bird,725,100,0.19,0.231,0.194,0.422,0.307,0.324,0.206,28,147,84.6,24.6,2189,88.6,87.79,95,311,412,-0.8,5.94,117,161,128,150,296,324,296
742,642086,Dominic Smith,742,100,0.198,0.198,0.218,0.395,0.285,0.324,0.243,33,167,84.3,13.7,2172,88.3,87.96,105,362,379,-0.3,6.17,115,156,123,151,292,316,297
1148,571718,Brian Goodwin,1148,100,0.251,0.247,0.291,0.498,0.345,0.324,0.242,63,251,81.5,16.7,2150,89,88.74,120,468,668,-0.3,6.14,112,147,102,149,289,314,298
1857,456030,Dustin Pedroia,1857,100,0.293,0.099,0.315,0.392,0.339,0.324,0.272,119,406,81.3,15.3,2252,89.3,88.69,85,764,1072,-0.6,5.99,108,149,112,146,290,315,287
