Player_Name,Sprint_Speed
 Daniel Robertson,27.2
 Mac Williamson,27.2
 DJ LeMahieu,27.2
 Jose Osuna,27.2
 Brian Goodwin,27.2
 Jeimer Candelario,27.2
 Adam Rosales,27.2
 Chris Herrmann,27.2
 Danny Valencia,27.2
 Andrew Knapp,27.2
 Enrique Hernandez,27.2
 Miguel Rojas,27.2
 Joe Panik,27.2
 Adrian Sanchez,27.2
 Corey Seager,27.2
 Jed Lowrie,27.2
 Jason Kipnis,27.2
 Mitch Haniger,27.2
 Anthony Rendon,27.2
 Hunter Renfroe,27.2
 Tyler Naquin,27.1
 Tomas Telis,27.1
 Danny Espinosa,27.1
 Christian Arroyo,27.1
 Ryan Schimpf,27.1
 John Jaso,27.1
 Adam Jones,27.1
 Starlin Castro,27.1
 Norichika Aoki,27.1
 Garrett Cooper,27.1
 Jefry Marte,27.1
 Nick Franklin,27.1
 Domingo Santana,27
 Jonathan Schoop,27
 Jaycob Brugman,27
 John Hicks,27
 Manny Machado,27
 Josh Donaldson,27
 Ryan Zimmerman,27
 Jake Lamb,27
 Ryan Rua,27
 Yuli Gurriel,27
 Cliff Pennington,27
 Ruben Tejada,27
 Adam Duvall,27
 Jose Abreu,26.9
 Ian Kinsler,27
 Ryan Goins,27
 Trey Mancini,26.9
 Logan Morrison,26.9
 Stephen Piscotty,26.9
 Kole Calhoun,26.9
 Jorge Alfaro,26.9
 Chris Young,26.9
 Joc Pederson,26.9
 Rickie Weeks Jr.,26.9
 Josh Bell,26.9
 Travis d'Arnaud,26.9
 Taylor Featherston,26.9
 Miguel Sano,26.9
 Daniel Descalso,26.9
 Chris Heisey,26.9
 Paul Goldschmidt,26.9
 Mason Williams,26.8
 Tommy La Stella,26.8
 Nomar Mazara,26.8
 J.D. Martinez,26.8
 Shin-Soo Choo,26.8
 Elias Diaz,26.8
 Jesse Winker,26.8
 Lonnie Chisenhall,26.8
 Eugenio Suarez,26.7
 Eric Sogard,26.8
 Joe Mauer,26.7
 Sean Rodriguez,26.7
 Brian Anderson,26.7
 Ehire Adrianza,26.7
 Brandon Moss,26.7
 Taylor Motter,26.7
 Ryon Healy,26.7
 Alex Gordon,26.7
 Brandon Phillips,26.7
 Drew Robinson,26.7
 Emilio Bonifacio,26.7
 Evan Longoria,26.7
 Brandon Belt,26.7
 Jurickson Profar,26.7
 James McCann,26.7
 Ben Zobrist,26.7
 Carlos Santana,26.7
 Scooter Gennett,26.7
 Hanley Ramirez,26.6
 Sam Travis,26.6
 Freddie Freeman,26.6
 Nolan Arenado,26.7
 Yasmany Tomas,26.6
 Jon Jay,26.6
 Daniel Nava,26.6
 Steve Pearce,26.6
 Curtis Granderson,26.6
 Zack Cozart,26.6
 Derek Norris,26.6
 Rio Ruiz,26.6
 Kennys Vargas,26.6
 Carlos Gonzalez,26.6
 Brock Stassi,26.6
 Ryan Braun,26.6
 Matt Carpenter,26.6
 Michael Brantley,26.6
 Austin Romine,26.5
 Kevin Plawecki,26.5
 Mark Canha,26.5
 Marwin Gonzalez,26.5
 Maikel Franco,26.5
 Kyle Seager,26.5
 Ichiro Suzuki,26.5
 Adonis Garcia,26.5
 J.D. Davis,26.5
 Yangervis Solarte,26.5
 Yan Gomes,26.5
 Jay Bruce,26.5
 Orlando Calixte,26.5
 Aaron Hill,26.5
 Todd Frazier,26.5
 Neil Walker,26.5
 Matt Joyce,26.4
 Daniel Murphy,26.5
 Gerardo Parra,26.4
 Chris Carter,26.4
 Tony Wolters,26.4
 Khris Davis,26.4
 Seth Smith,26.4
 Mitch Garver,26.4
 Mike Aviles,26.4
 Jae-Gyun Hwang,26.4
 Howie Kendrick,26.4
 Brandon Crawford,26.4
 Trevor Plouffe,26.4
 Mark Trumbo,26.3
 Kevan Smith,26.3
 Nick Markakis,26.3
 Austin Hedges,26.3
 Gary Sanchez,26.3
 Mitch Moreland,26.3
 Luis Torrens,26.3
 Efren Navarro,26.3
 Raul Mondesi,26.3
 Kyle Schwarber,26.3
 Jonathan Lucroy,26.2
 T.J. Rivera,26.2
 Justin Turner,26.2
 Hyun Soo Kim,26.2
 Andres Blanco,26.2
 Jayson Werth,26.2
 Dustin Garneau,26.2
 Dustin Pedroia,26.2
 Russell Martin,26.2
 J.J. Hardy,26.2
 Tyler Moore,26.1
 David Freese,26.2
 Victor Caratini,26.1
 Conor Gillaspie,26.1
 Tyler White,26.1
 Martin Prado,26.1
 Josh Phegley,26.1
 Giovanny Urshela,26.1
 Stephen Vogt,26.1
 Matt Adams,26.1
 Pete Kozma,26.1
 Melky Cabrera,26.1
 C.J. Cron,26.1
 Dwight Smith Jr.,26
 Mike Freeman,26
 Kurt Suzuki,26.1
 Salvador Perez,26
 Chris Stewart,26
 Evan Gattis,26
 Mike Zunino,26
 Rhys Hoskins,26
 Luke Voit,26
 Travis Shaw,26
 Carlos Beltran,26
 Greg Bird,25.9
 Stephen Drew,25.9
 Matt Holliday,25.9
 Jason Castro,25.9
 Robinson Cano,25.9
 Nelson Cruz,25.9
 Luke Maile,25.9
 Adam Lind,25.9
 Mark Reynolds,25.9
 Alex Avila,25.8
 Manny Pina,25.8
 Dominic Smith,25.8
 Francisco Cervelli,25.8
 Devin Mesoraco,25.8
 Caleb Joseph,25.8
 Chris Iannetta,25.7
 Nick Hundley,25.7
 Chase Headley,25.7
 Tyler Flowers,25.7
 Asdrubal Cabrera,25.7
